地区名称,新增耕地潜力_绝对值,高标准农田建设潜力_绝对值,低效用地潜力_绝对值,建设用地增减挂钩(拆旧复垦)潜力_绝对值,流域生态修复潜力_绝对值,造林绿化潜力_绝对值,矿山修复潜力_绝对值,新增耕地潜力_占比,高标准农田建设潜力_占比,低效用地潜力_占比,建设用地增减挂钩(拆旧复垦)潜力_占比,流域生态修复潜力_占比,造林绿化潜力_占比,矿山修复潜力_占比,新增耕地潜力_得分,高标准农田建设潜力_得分,低效用地潜力_得分,建设用地增减挂钩(拆旧复垦)潜力_得分,流域生态修复潜力_得分,造林绿化潜力_得分,矿山修复潜力_得分,Final_Density_Score
新丰马头,1027.6247,1027.6247,0.0,27.8222,0.0,0.0,0.0,0.43308179005646874,0.43308179005646874,0.0,0.011725378126186615,0.0,0.0,0.0,3,3,1,2,1,1,1,2.0000000000000004
清远佛冈（水头单元）,809.7092,809.7092,4.1743,89.952,0.0,0.0,10.0604,0.4143023932048835,0.4143023932048835,0.002135856280199293,0.04602557174052818,0.0,0.0,0.00514758606744052,2,2,1,3,1,1,3,1.9333333333333333
广州增城--简本,7648.8395,7648.8395,0.0,158.0593,0.0,0.0,0.0,0.522617353784205,0.522617353784205,0.0,0.010799616478680696,0.0,0.0,0.0,3,3,1,1,1,1,1,1.8
梅州兴宁（黄槐等六单元）,898.5088,898.5088,3993.2841,0.0,0.0,0.0,0.0,0.15989108791998272,0.15989108791998272,0.7106113363859865,0.0,0.0,0.0,0.0,1,1,5,1,1,1,1,1.7999999999999998
佛山环西江-北江村高质量发展先行专项规划,1069.89,1069.89,4714.68,0.0,0.0,0.0,0.0,0.10393133997785163,0.10393133997785163,0.4579938217637117,0.0,0.0,0.0,0.0,1,1,5,1,1,1,1,1.7999999999999998
东莞凤岗,183.4923,183.4923,232.3779,0.0,0.0,0.0,3.0669,0.25154352762996024,0.25154352762996024,0.31855918046284304,0.0,0.0,0.0,0.004204311815200556,1,1,4,1,1,1,3,1.7333333333333334
汕尾红海湾经济开发,1098.2587,1098.2587,44.875,18.0868,0.0,0.0,4.5788,0.3928727562027884,0.3928727562027884,0.016052834304522357,0.006470070272958997,0.0,0.0,0.001637943570218317,2,2,2,1,1,1,2,1.6666666666666667
中山翠亨新,306.1675,306.1675,0.0,399.736,0.0,0.0,0.0,0.04768252724410481,0.04768252724410481,0.0,0.06225488567679286,0.0,0.0,0.0,1,1,1,4,1,1,1,1.6
梅州大埔,2189.2745,2189.2745,1824.4015,755.1927,0.0,0.0,76.1985,0.036070651513231376,0.036070651513231376,0.03005897649048422,0.012442611790817591,0.0,0.0,0.001255452223707425,1,1,2,2,1,1,2,1.4666666666666668
肇庆鼎湖（沙浦单元）,153.5662,153.5662,2.366,0.2533,0.0,0.0,0.0,0.36407202721089077,0.36407202721089077,0.005609270896727064,0.0006005191539057334,0.0,0.0,0.0,2,2,1,1,1,1,1,1.4
